YOUR HASH: fb1dc9
YOUR NAME: Gurbir Arora
YOUR UID: 105178554

################### 1 ################### 
-- HEAP TRAVERSAL --
0x7f7cd0d7ca50: header: [24:a] footer: [24:a]
0x7f7cd0d7ca68: header: [120:a] footer: [120:a]
0x7f7cd0d7cae0: header: [24:a] footer: [24:a]
0x7f7cd0d7caf8: header: [120:a] footer: [120:a]
0x7f7cd0d7cb70: header: [24:a] footer: [24:a]
0x7f7cd0d7cb88: header: [120:a] footer: [120:a]
0x7f7cd0d7cc00: header: [24:a] footer: [24:a]
0x7f7cd0d7cc18: header: [120:a] footer: [120:a]
0x7f7cd0d7cc90: header: [24:a] footer: [24:a]
0x7f7cd0d7cca8: header: [120:a] footer: [120:a]
0x7f7cd0d7cd20: header: [24:a] footer: [24:a]
0x7f7cd0d7cd38: header: [120:a] footer: [120:a]
0x7f7cd0d7cdb0: header: [24:a] footer: [24:a]
0x7f7cd0d7cdc8: header: [120:a] footer: [120:a]
0x7f7cd0d7ce40: header: [24:a] footer: [24:a]
0x7f7cd0d7ce58: header: [120:a] footer: [120:a]
0x7f7cd0d7ced0: header: [24:a] footer: [24:a]
0x7f7cd0d7cee8: header: [120:a] footer: [120:a]
0x7f7cd0d7cf60: header: [24:a] footer: [24:a]
0x7f7cd0d7cf78: header: [120:a] footer: [120:a]
0x7f7cd0d7cff0: header: [24:a] footer: [24:a]
0x7f7cd0d7d008: header: [120:a] footer: [120:a]
0x7f7cd0d7d080: header: [24:a] footer: [24:a]
0x7f7cd0d7d098: header: [120:a] footer: [120:a]
0x7f7cd0d7d110: header: [24:a] footer: [24:a]
0x7f7cd0d7d128: header: [120:a] footer: [120:a]
0x7f7cd0d7d1a0: header: [24:a] footer: [24:a]
0x7f7cd0d7d1b8: header: [120:a] footer: [120:a]
0x7f7cd0d7d230: header: [24:a] footer: [24:a]
0x7f7cd0d7d248: header: [120:a] footer: [120:a]
0x7f7cd0d7d2c0: header: [24:a] footer: [24:a]
0x7f7cd0d7d2d8: header: [120:a] footer: [120:a]
0x7f7cd0d7d350: header: [24:a] footer: [24:a]
0x7f7cd0d7d368: header: [120:a] footer: [120:a]
0x7f7cd0d7d3e0: header: [24:a] footer: [24:a]
0x7f7cd0d7d3f8: header: [120:a] footer: [120:a]
0x7f7cd0d7d470: header: [24:a] footer: [24:a]
0x7f7cd0d7d488: header: [120:a] footer: [120:a]
0x7f7cd0d7d500: header: [24:a] footer: [24:a]
0x7f7cd0d7d518: header: [120:a] footer: [120:a]
0x7f7cd0d7d590: header: [24:a] footer: [24:a]
0x7f7cd0d7d5a8: header: [120:a] footer: [120:a]
0x7f7cd0d7d620: header: [24:a] footer: [24:a]
0x7f7cd0d7d638: header: [120:a] footer: [120:a]
0x7f7cd0d7d6b0: header: [24:a] footer: [24:a]
0x7f7cd0d7d6c8: header: [120:a] footer: [120:a]
0x7f7cd0d7d740: header: [24:a] footer: [24:a]
0x7f7cd0d7d758: header: [120:a] footer: [120:a]
0x7f7cd0d7d7d0: header: [24:a] footer: [24:a]
0x7f7cd0d7d7e8: header: [120:a] footer: [120:a]
0x7f7cd0d7d860: header: [24:a] footer: [24:a]
0x7f7cd0d7d878: header: [120:a] footer: [120:a]
0x7f7cd0d7d8f0: header: [24:a] footer: [24:a]
0x7f7cd0d7d908: header: [120:a] footer: [120:a]
0x7f7cd0d7d980: header: [24:a] footer: [24:a]
0x7f7cd0d7d998: header: [120:a] footer: [120:a]
0x7f7cd0d7da10: header: [24:a] footer: [24:a]
0x7f7cd0d7da28: header: [120:a] footer: [120:a]
0x7f7cd0d7daa0: header: [24:a] footer: [24:a]
0x7f7cd0d7dab8: header: [120:a] footer: [120:a]
0x7f7cd0d7db30: header: [24:a] footer: [24:a]
0x7f7cd0d7db48: header: [120:a] footer: [120:a]
0x7f7cd0d7dbc0: header: [24:a] footer: [24:a]
0x7f7cd0d7dbd8: header: [120:a] footer: [120:a]
0x7f7cd0d7dc50: header: [24:a] footer: [24:a]
0x7f7cd0d7dc68: header: [120:a] footer: [120:a]
0x7f7cd0d7dce0: header: [24:a] footer: [24:a]
0x7f7cd0d7dcf8: header: [120:a] footer: [120:a]
0x7f7cd0d7dd70: header: [24:a] footer: [24:a]
0x7f7cd0d7dd88: header: [120:a] footer: [120:a]
0x7f7cd0d7de00: header: [24:a] footer: [24:a]
0x7f7cd0d7de18: header: [120:a] footer: [120:a]
0x7f7cd0d7de90: header: [24:a] footer: [24:a]
0x7f7cd0d7dea8: header: [120:a] footer: [120:a]
0x7f7cd0d7df20: header: [24:a] footer: [24:a]
0x7f7cd0d7df38: header: [120:a] footer: [120:a]
0x7f7cd0d7dfb0: header: [24:a] footer: [24:a]
0x7f7cd0d7dfc8: header: [120:a] footer: [120:a]
0x7f7cd0d7e040: header: [24:a] footer: [24:a]
0x7f7cd0d7e058: header: [120:a] footer: [120:a]
0x7f7cd0d7e0d0: header: [24:a] footer: [24:a]
0x7f7cd0d7e0e8: header: [120:a] footer: [120:a]
0x7f7cd0d7e160: header: [24:a] footer: [24:a]
0x7f7cd0d7e178: header: [120:a] footer: [120:a]
0x7f7cd0d7e1f0: header: [24:a] footer: [24:a]
0x7f7cd0d7e208: header: [120:a] footer: [120:a]
0x7f7cd0d7e280: header: [24:a] footer: [24:a]
0x7f7cd0d7e298: header: [120:a] footer: [120:a]
0x7f7cd0d7e310: header: [24:a] footer: [24:a]
0x7f7cd0d7e328: header: [120:a] footer: [120:a]
0x7f7cd0d7e3a0: header: [24:a] footer: [24:a]
0x7f7cd0d7e3b8: header: [120:a] footer: [120:a]
0x7f7cd0d7e430: header: [24:a] footer: [24:a]
0x7f7cd0d7e448: header: [120:a] footer: [120:a]
0x7f7cd0d7e4c0: header: [24:a] footer: [24:a]
0x7f7cd0d7e4d8: header: [120:a] footer: [120:a]
0x7f7cd0d7e550: header: [24:a] footer: [24:a]
0x7f7cd0d7e568: header: [120:a] footer: [120:a]
0x7f7cd0d7e5e0: header: [24:a] footer: [24:a]
0x7f7cd0d7e5f8: header: [120:a] footer: [120:a]
0x7f7cd0d7e670: header: [24:a] footer: [24:a]
0x7f7cd0d7e688: header: [120:a] footer: [120:a]
0x7f7cd0d7e700: header: [24:a] footer: [24:a]
0x7f7cd0d7e718: header: [120:a] footer: [120:a]
0x7f7cd0d7e790: header: [24:a] footer: [24:a]
0x7f7cd0d7e7a8: header: [120:a] footer: [120:a]
0x7f7cd0d7e820: header: [24:a] footer: [24:a]
0x7f7cd0d7e838: header: [120:a] footer: [120:a]
0x7f7cd0d7e8b0: header: [24:a] footer: [24:a]
0x7f7cd0d7e8c8: header: [120:a] footer: [120:a]
0x7f7cd0d7e940: header: [24:a] footer: [24:a]
0x7f7cd0d7e958: header: [120:a] footer: [120:a]
0x7f7cd0d7e9d0: header: [24:a] footer: [24:a]
0x7f7cd0d7e9e8: header: [120:a] footer: [120:a]
0x7f7cd0d7ea60: header: [24:a] footer: [24:a]
0x7f7cd0d7ea78: header: [120:a] footer: [120:a]
0x7f7cd0d7eaf0: header: [24:a] footer: [24:a]
0x7f7cd0d7eb08: header: [120:a] footer: [120:a]
0x7f7cd0d7eb80: header: [24:a] footer: [24:a]
0x7f7cd0d7eb98: header: [120:a] footer: [120:a]
0x7f7cd0d7ec10: header: [24:a] footer: [24:a]
0x7f7cd0d7ec28: header: [120:a] footer: [120:a]
0x7f7cd0d7eca0: header: [24:a] footer: [24:a]
0x7f7cd0d7ecb8: header: [120:a] footer: [120:a]
0x7f7cd0d7ed30: header: [24:a] footer: [24:a]
0x7f7cd0d7ed48: header: [120:a] footer: [120:a]
0x7f7cd0d7edc0: header: [24:a] footer: [24:a]
0x7f7cd0d7edd8: header: [120:a] footer: [120:a]
0x7f7cd0d7ee50: header: [24:a] footer: [24:a]
0x7f7cd0d7ee68: header: [120:a] footer: [120:a]
0x7f7cd0d7eee0: header: [24:a] footer: [24:a]
0x7f7cd0d7eef8: header: [120:a] footer: [120:a]
0x7f7cd0d7ef70: header: [24:a] footer: [24:a]
0x7f7cd0d7ef88: header: [120:a] footer: [120:a]
0x7f7cd0d7f000: header: [24:a] footer: [24:a]
0x7f7cd0d7f018: header: [120:a] footer: [120:a]
0x7f7cd0d7f090: header: [24:a] footer: [24:a]
0x7f7cd0d7f0a8: header: [120:a] footer: [120:a]
0x7f7cd0d7f120: header: [24:a] footer: [24:a]
0x7f7cd0d7f138: header: [120:a] footer: [120:a]
0x7f7cd0d7f1b0: header: [24:a] footer: [24:a]
0x7f7cd0d7f1c8: header: [120:a] footer: [120:a]
0x7f7cd0d7f240: header: [24:a] footer: [24:a]
0x7f7cd0d7f258: header: [120:a] footer: [120:a]
0x7f7cd0d7f2d0: header: [24:a] footer: [24:a]
0x7f7cd0d7f2e8: header: [120:a] footer: [120:a]
0x7f7cd0d7f360: header: [24:a] footer: [24:a]
0x7f7cd0d7f378: header: [120:a] footer: [120:a]
0x7f7cd0d7f3f0: header: [24:a] footer: [24:a]
0x7f7cd0d7f408: header: [120:a] footer: [120:a]
0x7f7cd0d7f480: header: [24:a] footer: [24:a]
0x7f7cd0d7f498: header: [120:a] footer: [120:a]
0x7f7cd0d7f510: header: [24:a] footer: [24:a]
0x7f7cd0d7f528: header: [120:a] footer: [120:a]
0x7f7cd0d7f5a0: header: [24:a] footer: [24:a]
0x7f7cd0d7f5b8: header: [120:a] footer: [120:a]
0x7f7cd0d7f630: header: [24:a] footer: [24:a]
0x7f7cd0d7f648: header: [120:a] footer: [120:a]
0x7f7cd0d7f6c0: header: [24:a] footer: [24:a]
0x7f7cd0d7f6d8: header: [120:a] footer: [120:a]
0x7f7cd0d7f750: header: [24:a] footer: [24:a]
0x7f7cd0d7f768: header: [120:a] footer: [120:a]
0x7f7cd0d7f7e0: header: [24:a] footer: [24:a]
0x7f7cd0d7f7f8: header: [120:a] footer: [120:a]
0x7f7cd0d7f870: header: [24:a] footer: [24:a]
0x7f7cd0d7f888: header: [120:a] footer: [120:a]
0x7f7cd0d7f900: header: [24:a] footer: [24:a]
0x7f7cd0d7f918: header: [120:a] footer: [120:a]
0x7f7cd0d7f990: header: [24:a] footer: [24:a]
0x7f7cd0d7f9a8: header: [120:a] footer: [120:a]
0x7f7cd0d7fa20: header: [24:a] footer: [24:a]
0x7f7cd0d7fa38: header: [120:a] footer: [120:a]
0x7f7cd0d7fab0: header: [24:a] footer: [24:a]
0x7f7cd0d7fac8: header: [120:a] footer: [120:a]
0x7f7cd0d7fb40: header: [24:a] footer: [24:a]
0x7f7cd0d7fb58: header: [120:a] footer: [120:a]
0x7f7cd0d7fbd0: header: [24:a] footer: [24:a]
0x7f7cd0d7fbe8: header: [120:a] footer: [120:a]
0x7f7cd0d7fc60: header: [24:a] footer: [24:a]
0x7f7cd0d7fc78: header: [120:a] footer: [120:a]
0x7f7cd0d7fcf0: header: [24:a] footer: [24:a]
0x7f7cd0d7fd08: header: [120:a] footer: [120:a]
0x7f7cd0d7fd80: header: [24:a] footer: [24:a]
0x7f7cd0d7fd98: header: [120:a] footer: [120:a]
0x7f7cd0d7fe10: header: [24:a] footer: [24:a]
0x7f7cd0d7fe28: header: [120:a] footer: [120:a]
0x7f7cd0d7fea0: header: [24:a] footer: [24:a]
0x7f7cd0d7feb8: header: [120:a] footer: [120:a]
0x7f7cd0d7ff30: header: [24:a] footer: [24:a]
0x7f7cd0d7ff48: header: [120:a] footer: [120:a]
0x7f7cd0d7ffc0: header: [24:a] footer: [24:a]
0x7f7cd0d7ffd8: header: [120:a] footer: [120:a]
0x7f7cd0d80050: header: [24:a] footer: [24:a]
0x7f7cd0d80068: header: [120:a] footer: [120:a]
0x7f7cd0d800e0: header: [24:a] footer: [24:a]
0x7f7cd0d800f8: header: [120:a] footer: [120:a]
0x7f7cd0d80170: header: [24:a] footer: [24:a]
0x7f7cd0d80188: header: [120:a] footer: [120:a]
0x7f7cd0d80200: header: [24:a] footer: [24:a]
0x7f7cd0d80218: header: [120:a] footer: [120:a]
0x7f7cd0d80290: header: [24:a] footer: [24:a]
0x7f7cd0d802a8: header: [120:a] footer: [120:a]
0x7f7cd0d80320: header: [24:a] footer: [24:a]
0x7f7cd0d80338: header: [120:a] footer: [120:a]
0x7f7cd0d803b0: header: [24:a] footer: [24:a]
0x7f7cd0d803c8: header: [120:a] footer: [120:a]
0x7f7cd0d80440: header: [24:a] footer: [24:a]
0x7f7cd0d80458: header: [120:a] footer: [120:a]
0x7f7cd0d804d0: header: [24:a] footer: [24:a]
0x7f7cd0d804e8: header: [120:a] footer: [120:a]
0x7f7cd0d80560: header: [24:a] footer: [24:a]
0x7f7cd0d80578: header: [120:a] footer: [120:a]
0x7f7cd0d805f0: header: [24:a] footer: [24:a]
0x7f7cd0d80608: header: [120:a] footer: [120:a]
0x7f7cd0d80680: header: [24:a] footer: [24:a]
0x7f7cd0d80698: header: [120:a] footer: [120:a]
0x7f7cd0d80710: header: [24:a] footer: [24:a]
0x7f7cd0d80728: header: [120:a] footer: [120:a]
0x7f7cd0d807a0: header: [24:a] footer: [24:a]
0x7f7cd0d807b8: header: [120:a] footer: [120:a]
0x7f7cd0d80830: header: [24:a] footer: [24:a]
0x7f7cd0d80848: header: [120:a] footer: [120:a]
0x7f7cd0d808c0: header: [24:a] footer: [24:a]
0x7f7cd0d808d8: header: [120:a] footer: [120:a]
0x7f7cd0d80950: header: [24:a] footer: [24:a]
0x7f7cd0d80968: header: [120:a] footer: [120:a]
0x7f7cd0d809e0: header: [24:a] footer: [24:a]
0x7f7cd0d809f8: header: [120:a] footer: [120:a]
0x7f7cd0d80a70: header: [24:a] footer: [24:a]
0x7f7cd0d80a88: header: [120:a] footer: [120:a]
0x7f7cd0d80b00: header: [24:a] footer: [24:a]
0x7f7cd0d80b18: header: [120:a] footer: [120:a]
0x7f7cd0d80b90: header: [24:a] footer: [24:a]
0x7f7cd0d80ba8: header: [120:a] footer: [120:a]
0x7f7cd0d80c20: header: [24:a] footer: [24:a]
0x7f7cd0d80c38: header: [120:a] footer: [120:a]
0x7f7cd0d80cb0: header: [24:a] footer: [24:a]
0x7f7cd0d80cc8: header: [120:a] footer: [120:a]
0x7f7cd0d80d40: header: [24:a] footer: [24:a]
0x7f7cd0d80d58: header: [120:a] footer: [120:a]
0x7f7cd0d80dd0: header: [24:a] footer: [24:a]
0x7f7cd0d80de8: header: [120:a] footer: [120:a]
0x7f7cd0d80e60: header: [24:a] footer: [24:a]
0x7f7cd0d80e78: header: [120:a] footer: [120:a]
0x7f7cd0d80ef0: header: [24:a] footer: [24:a]
0x7f7cd0d80f08: header: [120:a] footer: [120:a]
0x7f7cd0d80f80: header: [24:a] footer: [24:a]
0x7f7cd0d80f98: header: [120:a] footer: [120:a]
0x7f7cd0d81010: header: [24:a] footer: [24:a]
0x7f7cd0d81028: header: [120:a] footer: [120:a]
0x7f7cd0d810a0: header: [24:a] footer: [24:a]
0x7f7cd0d810b8: header: [120:a] footer: [120:a]
0x7f7cd0d81130: header: [24:a] footer: [24:a]
0x7f7cd0d81148: header: [120:a] footer: [120:a]
0x7f7cd0d811c0: header: [24:a] footer: [24:a]
0x7f7cd0d811d8: header: [120:a] footer: [120:a]
0x7f7cd0d81250: header: [24:a] footer: [24:a]
0x7f7cd0d81268: header: [120:a] footer: [120:a]
0x7f7cd0d812e0: header: [24:a] footer: [24:a]
0x7f7cd0d812f8: header: [120:a] footer: [120:a]
0x7f7cd0d81370: header: [24:a] footer: [24:a]
0x7f7cd0d81388: header: [120:a] footer: [120:a]
0x7f7cd0d81400: header: [24:a] footer: [24:a]
0x7f7cd0d81418: header: [120:a] footer: [120:a]
0x7f7cd0d81490: header: [24:a] footer: [24:a]
0x7f7cd0d814a8: header: [120:a] footer: [120:a]
0x7f7cd0d81520: header: [24:a] footer: [24:a]
0x7f7cd0d81538: header: [120:a] footer: [120:a]
0x7f7cd0d815b0: header: [24:a] footer: [24:a]
0x7f7cd0d815c8: header: [120:a] footer: [120:a]
0x7f7cd0d81640: header: [24:a] footer: [24:a]
0x7f7cd0d81658: header: [120:a] footer: [120:a]
0x7f7cd0d816d0: header: [24:a] footer: [24:a]
0x7f7cd0d816e8: header: [120:a] footer: [120:a]
0x7f7cd0d81760: header: [24:a] footer: [24:a]
0x7f7cd0d81778: header: [120:a] footer: [120:a]
0x7f7cd0d817f0: header: [24:a] footer: [24:a]
0x7f7cd0d81808: header: [120:a] footer: [120:a]
0x7f7cd0d81880: header: [24:a] footer: [24:a]
0x7f7cd0d81898: header: [120:a] footer: [120:a]
0x7f7cd0d81910: header: [24:a] footer: [24:a]
0x7f7cd0d81928: header: [120:a] footer: [120:a]
0x7f7cd0d819a0: header: [24:a] footer: [24:a]
0x7f7cd0d819b8: header: [120:a] footer: [120:a]
0x7f7cd0d81a30: header: [24:a] footer: [24:a]
0x7f7cd0d81a48: header: [120:a] footer: [120:a]
0x7f7cd0d81ac0: header: [24:a] footer: [24:a]
0x7f7cd0d81ad8: header: [120:a] footer: [120:a]
0x7f7cd0d81b50: header: [24:a] footer: [24:a]
0x7f7cd0d81b68: header: [120:a] footer: [120:a]
0x7f7cd0d81be0: header: [24:a] footer: [24:a]
0x7f7cd0d81bf8: header: [120:a] footer: [120:a]
0x7f7cd0d81c70: header: [24:a] footer: [24:a]
0x7f7cd0d81c88: header: [120:a] footer: [120:a]
0x7f7cd0d81d00: header: [24:a] footer: [24:a]
0x7f7cd0d81d18: header: [120:a] footer: [120:a]
0x7f7cd0d81d90: header: [24:a] footer: [24:a]
0x7f7cd0d81da8: header: [120:a] footer: [120:a]
0x7f7cd0d81e20: header: [24:a] footer: [24:a]
0x7f7cd0d81e38: header: [120:a] footer: [120:a]
0x7f7cd0d81eb0: header: [24:a] footer: [24:a]
0x7f7cd0d81ec8: header: [120:a] footer: [120:a]
0x7f7cd0d81f40: header: [24:a] footer: [24:a]
0x7f7cd0d81f58: header: [120:a] footer: [120:a]
0x7f7cd0d81fd0: header: [24:a] footer: [24:a]
0x7f7cd0d81fe8: header: [120:a] footer: [120:a]
0x7f7cd0d82060: header: [24:a] footer: [24:a]
0x7f7cd0d82078: header: [120:a] footer: [120:a]
0x7f7cd0d820f0: header: [24:a] footer: [24:a]
0x7f7cd0d82108: header: [120:a] footer: [120:a]
0x7f7cd0d82180: header: [24:a] footer: [24:a]
0x7f7cd0d82198: header: [120:a] footer: [120:a]
0x7f7cd0d82210: header: [24:a] footer: [24:a]
0x7f7cd0d82228: header: [120:a] footer: [120:a]
0x7f7cd0d822a0: header: [24:a] footer: [24:a]
0x7f7cd0d822b8: header: [120:a] footer: [120:a]
0x7f7cd0d82330: header: [24:a] footer: [24:a]
0x7f7cd0d82348: header: [120:a] footer: [120:a]
0x7f7cd0d823c0: header: [24:a] footer: [24:a]
